,industry,stock,Short_window,Long_window,Final_funds,Percentage_change,buy_and_hold
86,conscycl,SBUX,5,30,101436.24230500897,1.436242305008971,95833.3015550247
87,conscycl,JD,5,200,59897.81495851883,-40.10218504148117,26254.348903703798
88,conscycl,PDD,100,200,178316.86194399846,78.31686194399846,74703.2001737588
89,conscycl,TJX,40,50,160107.76130161405,60.10776130161405,153135.9741061269
90,conscycl,ABNB,100,200,102360.83322346906,2.3608332234690605,105318.0089686374
91,conscycl,BKNG,5,7,175671.57336363583,75.67157336363583,164568.3044993317
92,conscycl,F,5,7,129025.03324521997,29.025033245219966,163401.41643854027
93,conscycl,GM,9,20,69961.21892067752,-30.03878107932248,97517.67408251851
94,conscycl,MAR,5,7,197607.5951715457,97.6075951715457,199750.9980130201
95,conscycl,CMG,100,200,170346.3709423308,70.34637094233081,188176.96937998087
96,conscycl,MELI,100,200,121327.63212414458,21.327632124144582,108103.66002524772
97,conscycl,ORLY,21,30,236690.93124889434,136.69093124889434,230700.27882405985
98,consdef,WMT,20,30,127118.32396402459,27.118323964024587,121233.43054169479
99,consdef,PG,5,20,134232.18898875048,34.23218898875048,124351.77054123147
100,consdef,KO,9,10,137745.90961811185,37.74590961811185,125710.12462415163
101,consdef,PEP,9,30,139128.81841100808,39.128818411008076,128827.68507088996
102,consdef,COST,5,20,220042.1946760129,120.04219467601291,195371.93144102622
103,consdef,PM,9,10,136125.91465245903,36.12591465245904,133666.9967659048
104,consdef,UL,9,20,98436.48550819977,-1.5635144918002335,90512.20020840388
105,consdef,DEO,10,100,114290.73745980015,14.290737459800148,99697.31927979458
106,consdef,BTI,30,200,119966.87274036609,19.96687274036609,101203.73546112177
107,consdef,EL,5,200,91657.98302307722,-8.34201697692278,54325.713309882834
108,consdef,BUD,20,21,108078.92789306425,8.078927893064247,91828.59196449259
109,consdef,MDLZ,9,10,148831.39238120435,48.83139238120435,142047.65780791905
110,consdef,MO,5,200,127520.52773506066,27.52052773506066,128480.2788621786
111,consdef,TGT,40,50,89239.56080076852,-10.760439199231477,87530.89339257326
112,consdef,CL,20,21,117737.03928629016,17.737039286290166,108482.31258084474
113,consdef,DG,5,200,118426.79300831704,18.426793008317034,67118.22923169727
114,consdef,KDP,40,50,110533.80471430712,10.533804714307117,107648.17269051165
115,consdef,ADM,21,200,164423.40661169772,64.42340661169771,119241.67653214061
116,consdef,MNST,20,30,131083.77182612487,31.083771826124867,122185.42915302856
117,consdef,STZ,9,10,124970.01427209847,24.970014272098474,120466.25636544672
118,health,UNH,5,10,172129.20148252635,72.12920148252635,152194.4703120406
119,health,JNJ,40,50,108003.62369472907,8.003623694729074,108482.66850888761
120,health,LLY,50,100,357797.3810947912,257.79738109479126,419219.7712946667
121,health,PFE,7,200,141559.9033662672,41.559903366267186,83286.97390245419
122,health,ABBV,20,21,183087.57021743778,83.08757021743777,182991.61329321543
123,health,TMO,50,100,125462.86450642762,25.462864506427618,117763.53948964899
124,health,MRK,5,9,168537.16453341482,68.53716453341482,179924.3264597747
125,health,DHR,50,100,131395.26971647373,31.395269716473734,126044.83182852606
126,health,NVS,20,50,129622.69434625523,29.62269434625523,124280.46703856009
127,health,AZN,40,200,153664.19410829144,53.66419410829144,139561.88593890113
128,health,ABT,9,20,106940.54466840942,6.940544668409421,108733.61899329172
129,health,NVO,40,50,349959.926780957,249.95992678095695,350106.9263816033
130,health,BMY,30,200,130170.12795392403,30.170127953924037,87738.57232015856
131,health,CVS,40,50,114873.85977371292,14.873859773712915,114056.05908214659
132,health,AMGN,40,50,153276.2882677315,53.27628826773149,156898.14781549017
133,health,ELV,5,9,177101.6234878387,77.1016234878387,161002.52081043035
134,health,MDT,21,30,84701.57247288624,-15.298427527113759,82226.68782378644
135,health,SNY,5,9,116847.43754583136,16.847437545831358,108425.5170459994
136,health,CI,30,40,155676.05320921622,55.676053209216214,165878.507420154
137,health,SYK,50,100,138592.9958954371,38.59299589543711,147935.99850484027
138,industrials,UPS,5,200,115802.47283284886,15.802472832848856,95024.7914572687
139,industrials,UNP,9,10,130016.4971679196,30.016497167919603,130727.40241765956
140,industrials,RTX,10,20,143393.78369701377,43.393783697013774,144599.59738569366
141,industrials,HON,7,9,106230.96723130048,6.230967231300485,100063.65574078474
142,industrials,LMT,5,9,147818.83690509098,47.81883690509098,134226.72707398364
143,industrials,DE,7,9,139022.3675862517,39.0223675862517,152174.48699864265
144,industrials,ADP,5,9,153434.794144987,53.43479414498701,156388.70303930563
145,industrials,CAT,5,7,171250.3540332186,71.25035403321861,185303.44654425778
146,industrials,BA,10,20,118199.94098138655,18.19994098138655,103285.32143942648
147,industrials,CP,10,20,121445.8593768351,21.4458593768351,123626.8348517845
148,industrials,CNI,5,7,124477.04203339518,24.477042033395175,118581.48263930496
149,industrials,GE,7,20,197214.4459282184,97.2144459282184,211015.89077327738
150,industrials,NOC,30,40,167381.00643110595,67.38100643110594,159033.26122595582
151,industrials,WM,9,20,173858.09343217177,73.85809343217177,172252.54426053225
152,industrials,CSX,9,10,127458.75245959859,27.45875245959859,129340.02365126122
153,industrials,MMM,100,200,90004.81895369691,-9.995181046303085,62954.50870345457
154,industrials,ITW,20,30,141583.61587330524,41.58361587330524,134949.85444024205
155,industrials,GD,20,21,189820.01053443478,89.82001053443479,196281.29046564145
156,industrials,NSC,5,20,109828.88623269914,9.828886232699137,114900.65376591863
157,industrials,ETN,21,30,218459.7120269752,118.45971202697521,241378.8805680532
158,realestate,AMT,5,10,104429.68276825528,4.429682768255283,95361.54816634316
159,realestate,PLD,40,50,144667.68428715682,44.667684287156824,144773.10238990624
160,realestate,CCI,100,200,92895.59086122265,-7.104409138777351,78955.72508182406
161,realestate,PSA,7,10,154073.86193213912,54.07386193213911,145726.39377744735
162,realestate,EQIX,40,50,144925.82303174862,44.92582303174862,128482.18981643279
163,realestate,O,5,7,115693.38613704263,15.69338613704263,107930.33145598232
164,realestate,SBAC,100,200,108852.63569366811,8.85263569366811,84122.55257018689
165,realestate,WELL,10,20,161591.2104416745,61.59121044167451,156611.61873478198
166,realestate,DLR,40,50,128593.08382657601,28.59308382657601,119439.75945291771
167,realestate,SPG,20,30,182438.62203542332,82.43862203542332,196724.54929801822
168,realestate,VICI,5,9,142650.55594996057,42.65055594996057,143627.9729254467
169,realestate,CSGP,50,100,98949.67779836422,-1.0503222016357758,93760.473522526
170,realestate,AVB,5,20,124429.39143763325,24.429391437633257,124374.82654547978
171,realestate,EQR,5,30,111150.94852709305,11.150948527093044,116773.15518124665
172,realestate,EXR,5,10,152559.37356583477,52.559373565834775,144583.6885911256
173,realestate,CBRE,5,30,137256.45502902233,37.25645502902233,142857.14285714284
174,realestate,ARE,9,20,84337.37125034843,-15.662628749651573,78431.38172600616
175,realestate,WY,20,40,118486.59267220076,18.486592672200757,115259.69801945167
176,realestate,INVH,5,20,125277.03854836944,25.27703854836944,125457.59401154151
177,tech,AAPL,40,50,154719.0823761784,54.719082376178406,146149.69024744266
178,tech,MSFT,5,7,186883.7166663003,86.88371666630029,193974.81208535648
179,tech,TSM,100,200,105389.14368972839,5.389143689728386,109640.759846042
180,tech,NVDA,40,50,415937.5830250403,315.9375830250403,505655.28649388475
181,tech,AVGO,5,20,299270.8665360898,199.2708665360898,312980.94997295685
182,tech,ORCL,5,9,200955.10706804125,100.95510706804124,191218.61014097635
183,tech,ASML,21,30,147474.44868552272,47.47444868552272,183226.91973891188
184,tech,CSCO,40,100,126478.39350508443,26.47839350508443,124858.40415063704
185,tech,ACN,7,9,158017.85558661396,58.01785558661396,152152.7315950125
186,tech,ADBE,7,10,137991.30647078805,37.991306470788054,130786.66801730248
187,tech,CRM,40,50,138669.90469034435,38.66990469034435,129662.75104521081
188,tech,TXN,5,7,105163.36591722335,5.163365917223346,107368.86399668713
189,tech,QCOM,40,50,114419.15753440399,14.41915753440399,101927.42116422422
190,tech,AMD,30,50,228090.9039084167,128.0909039084167,192481.03769019968
191,tech,INTC,5,21,95457.19007307278,-4.54280992692722,93617.50107849298
192,tech,INTU,5,9,173848.22355556986,73.84822355556986,175602.57355673556
193,tech,IBM,9,20,187420.14608110173,87.42014608110173,181440.32311337572
194,tech,SAP,30,40,145768.12650467412,45.768126504674115,145722.5367904132
195,tech,SONY,20,21,99314.79210014775,-0.6852078998522484,98491.05412127971
196,tech,NOW,50,100,158969.07216494845,58.96907216494844,148302.1017118181
197,utilities,NEE,40,200,108670.98593026705,8.670985930267051,83898.10928011968
198,utilities,SO,40,50,136595.08165666793,36.59508165666793,130406.26610269945
199,utilities,DUK,40,50,123084.63760404504,23.084637604045042,120982.87020231748
200,utilities,D,9,200,113465.64302324006,13.465643023240059,69888.66649812115
201,utilities,SRE,5,20,146197.63167117198,46.19763167117198,137412.82264329062
202,utilities,AEP,50,200,114836.83315907103,14.83683315907103,107526.06984161431
203,utilities,EXC,40,100,161201.81178949744,61.20181178949744,129344.36205549414
204,utilities,NGG,21,40,131837.35908587638,31.837359085876376,130152.94512760226
205,utilities,XEL,20,21,103870.29105941007,3.8702910594100683,99571.96912742405
206,utilities,ED,5,7,147851.2846750324,47.851284675032396,144022.15020440007
207,utilities,PEG,40,50,119309.9606119812,19.309960611981193,115882.64429502776
208,utilities,WEC,10,200,111338.14156282492,11.338141562824923,97189.95811812626
209,utilities,ES,20,200,102258.76356164207,2.258763561642074,72005.82899749604
210,utilities,PCG,20,100,163486.66498736307,63.48666498736306,136439.73275340084
211,utilities,AWK,40,200,111865.77246091071,11.86577246091071,86425.78332750534
212,utilities,FTS,5,20,112298.67504639713,12.298675046397125,109935.46411996933
213,utilities,BIP,30,40,103348.33690902228,3.3483369090222843,107483.08898510922
214,utilities,EIX,5,20,139550.77512302063,39.55077512302063,126172.50457341563
215,utilities,FE,9,10,134190.2161146104,34.19021611461041,140967.31279451237
